Country Name,Country Code,BBsubs_1960,BBsubs_1961,BBsubs_1962,BBsubs_1963,BBsubs_1964,BBsubs_1965,BBsubs_1966,BBsubs_1967,BBsubs_1968,BBsubs_1969,BBsubs_1970,BBsubs_1971,BBsubs_1972,BBsubs_1973,BBsubs_1974,BBsubs_1975,BBsubs_1976,BBsubs_1977,BBsubs_1978,BBsubs_1979,BBsubs_1980,BBsubs_1981,BBsubs_1982,BBsubs_1983,BBsubs_1984,BBsubs_1985,BBsubs_1986,BBsubs_1987,BBsubs_1988,BBsubs_1989,BBsubs_1990,BBsubs_1991,BBsubs_1992,BBsubs_1993,BBsubs_1994,BBsubs_1995,BBsubs_1996,BBsubs_1997,BBsubs_1998,BBsubs_1999,BBsubs_2000,BBsubs_2001,BBsubs_2002,BBsubs_2003,BBsubs_2004,BBsubs_2005,BBsubs_2006,BBsubs_2007,BBsubs_2008,BBsubs_2009,BBsubs_2010,BBsubs_2011,BBsubs_2012,BBsubs_2013,BBsubs_2014,BBsubs_2015
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307765826522,0.607755179074,8.41721365868,16.924710473,22.4285200026,23.9924366887,25.4724472456,25.9194390025,29.6939210481,30.9211660455,32.3283627862,33.9428662354,35.4858143501,36.6479673582,37.2482890376,38.0359070061,38.7763045689,40.2498991261
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252448243061,0.512637240313,0.614264255538,0.910553589266,1.08870128388,1.24097962932,1.36990590703,1.48026382742,1.57889086075,1.53764900153,1.504141991,1.44593317451,1.39524997536,1.37955969628,1.53485559381
Latin America & Caribbean (excluding high income),LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343753402349,0.13063451602,0.284066781154,0.420326345759,1.12626767187,1.4621918881,2.26007668278,3.42550990617,4.73586562308,5.68402033883,6.47171060719,7.80057736159,8.40800709062,9.01997613483,9.48782486903,10.2462796842
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000444913561303,0.000877329661182,0.00542253834892,0.0125679918181,0.0188748965207,0.0471728309253,0.0688739955277,0.0920147605122,0.100378543343,0.114026440953,0.133314090805,0.16371974985,0.524798095404
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.20778402309,2.38886521258,4.63865140982,7.62685978551,8.98435833907,10.2469744973,9.95443564468,22.7981998883,25.3928270089
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00299506032868,0.00392522190588,0.00469935497563,0.00154423232902,0.0125046683698,0.118302489685,0.136460616443,0.155436767324
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786856123353,1.05628046761,1.2051758994,1.14693310906,1.09348696094,1.0432924439,1.00424533522,0.965636021706
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865447621874,2.32472776214,4.23198534524,4.28014171707,6.510764095,8.98896569292,10.6084474886,11.5509281442,11.9037658071,13.5860009952,13.553296429,15.3482064075,15.3706397314
Latin America & Caribbean,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0349752237991,0.141577372739,0.317089061945,0.491278742844,1.19754027933,1.57156759035,2.40600249687,3.5845265831,4.92621408268,5.90306944441,6.69744271448,8.02293160349,8.649529821,9.28537287237,9.78597489127,10.5654159129
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331031779069,0.0438288598334,0.0942551379667,0.110717053832,0.153568998668,0.210693123587,0.355956002753,0.573588622416,0.786765536335
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272405236301,0.0354447519957,0.051677742119,0.0617426869316,0.107252553245,0.152980108965,0.198982660901,0.236459727276,0.289368427661
